cve,securitypatchlevel,reference,type,severity,aospversion,securitycomponent,component,other
CVE-2019-2287,2019-06-05,A-114399807 [QC-CR#2368791](https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=9c0fa2ad7dab4d11c866cb4677c3cd2561b829b5) [2](https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=afe17d52f803f858ef89579ba35391fc1ee1ccd4),N/A,Critical,N/A,qualcomm-components,Video,
CVE-2019-2260,2019-06-05,A-123999895 [QC-CR#2294824](https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit?id=3186af9f3ece8d5d07a3d62cc1a64b448eab375b),N/A,High,N/A,qualcomm-components,Kernel,
CVE-2019-2292,2019-06-05,A-127513046 [QC-CR#2327688](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?h=wlan-cld3.driver.lnx.1.1.r41-rel&id=a01623699ad76fc6947483b063727f417d526df7) [QC-CR#2333042](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?h=wlan-cld3.driver.lnx.1.1.r41-rel&id=4f3ff1b8a70616fe7d78c753bbb6ab8915c5303a),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-13924,2019-06-05,A-120486477 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13927,2019-06-05,A-120485121 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13896,2019-06-05,A-120487163 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-2243,2019-06-05,A-122473494 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-2261,2019-06-05,A-123998003 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-2043,2019-05-01,[A-120484087](https://android.googlesource.com/platform/packages/apps/Settings/+/3002f27a6f54b2cce5fb3cb3693167d37fcf432b),EoP,Moderate,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",framework,N/A,
CVE-2019-2044,2019-05-01,[A-123701862](https://android.googlesource.com/platform/frameworks/av/+/ea5aa166f8a0399cf1ab91b0dc864e01728e3888),RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",media-framework,N/A,
CVE-2019-2045,2019-05-01,[A-117554758](https://android.googlesource.com/platform/external/v8/+/9817e77d44b65abce2aba7f4d6c6372ed09a4a52),RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.1, 9",system,N/A,
CVE-2019-2046,2019-05-01,[A-117556220](https://android.googlesource.com/platform/external/v8/+/e3b988edf9cdfb318ba7aa1d8e3c0ddea53892de),RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2019-2047,2019-05-01,[A-117607414](https://android.googlesource.com/platform/external/v8/+/8279c47df01ac6dc28d67c411dfa36c61a068c62),RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2019-2049,2019-05-01,[A-120445479](https://android.googlesource.com/platform/system/bt/+/80e24410b7c42288f02869543555e682d88213f7),EoP,High,9,system,N/A,
CVE-2019-2050,2019-05-01,[A-121327323](https://android.googlesource.com/platform/system/connectivity/wificond/+/114b3803718500148dd90f32d231f61d746cd031),EoP,High,"8.0, 8.1, 9",system,N/A,
CVE-2019-2051,2019-05-01,[A-117555811](https://android.googlesource.com/platform/external/v8/+/a84c4b763ed287f762e4112c73d9fb357605b02c),ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2019-2052,2019-05-01,[A-117556606](https://android.googlesource.com/platform/external/v8/+/f04f2b72c6656659274eacb51dd7558e19914f89),ID,High,"7.0, 7.1.1, 7.1.2, 8.1, 9",system,N/A,
CVE-2019-2053,2019-05-01,[A-122074159](https://android.googlesource.com/platform/external/wpa_supplicant_8/+/040d17d5d835cc4653e47b120e40975fc37fce95),ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2019-2054,2019-05-05,A-119769499 [*](#asterisk),EoP,Moderate,N/A,kernel-components,seccomp,
CVE-2018-6243,2019-05-05,A-72315075 [*](#asterisk),EoP,High,N/A,nvidia-components,Pixel C TrustZone,
CVE-2018-19860,2019-05-05,A-122249979 [*](#asterisk),RCE,High,N/A,-broadcom-components,Bluetooth firmware,
CVE-2018-11955,2019-05-05,A-78528839 [QC-CR#2249768](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=ee4f1ec45cc6bd7da0a4b111d772a4058e1df152),N/A,High,N/A,qualcomm-components,WLAN driver,
CVE-2018-13919,2019-05-05,A-120486022 [QC-CR#2289598](https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=2df8cec1c3ee66d82313e67c2f3129e62296a4de),N/A,High,N/A,qualcomm-components,Data HLOS - LNX,
CVE-2018-11819,2019-05-05,A-112277301 [QC-CR#2176354](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=1b8c7285d4e85961711fef80107de12085b58116),N/A,Moderate,N/A,qualcomm-components,WLAN driver,
CVE-2018-5912,2019-05-05,A-114074547 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13898,2019-05-05,A-119050181 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-2255,2019-05-05,A-122474428 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-2256,2019-05-05,A-114067283 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13901,2019-05-05,A-119049466 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13902,2019-05-05,A-119050073 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13906,2019-05-05,A-119049388 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13907,2019-05-05,A-119050001 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13908,2019-05-05,A-119049623 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13909,2019-05-05,A-119051002 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13910,2019-05-05,A-119050182 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13911,2019-05-05,A-119052037 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-5913,2019-05-05,A-122472140 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-2257,2019-05-05,A-112303441 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-2259,2019-05-05,A-123997497 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-2026,2019-04-01,A-120866126 [*](#asterisk),EoP,High,8.0,framework,N/A,
CVE-2019-2027,2019-04-01,[A-119120561](https://android.googlesource.com/platform/external/tremolo/+/7431d3c2a71a315f47c9e86e9ad691e9278b2114),RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",media-framework,N/A,
CVE-2019-2028,2019-04-01,[A-120644655](https://android.googlesource.com/platform/external/libmpeg2/+/f2044b7e4595954d0f958c9ee4d5183486191ca0),RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",media-framework,N/A,
CVE-2019-2030,2019-04-01,[A-119496789](https://android.googlesource.com/platform/system/netd/+/e00529f4b12b0c484bd7b543018289799856bba7),EoP,High,9,system,N/A,
CVE-2019-2031,2019-04-01,[A-120502559](https://android.googlesource.com/platform/system/nfc/+/efc7bda97917f1afb7ab1fc6b3fe67a20cee6693),EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2019-2033,2019-04-01,[A-121327565](https://android.googlesource.com/platform/system/netd/+/8d67a8b1a1a03922e5ecdfdb8c8c5da6b972ce40) [2](https://android.googlesource.com/platform/system/netd/+/04ba32f1a4754bf857926ce3a9e4f9e4159b3187),EoP,High,9,system,N/A,
CVE-2019-2034,2019-04-01,[A-122035770](https://android.googlesource.com/platform/system/nfc/+/14e2f9df79ecb25db9e88843406d738d607101b4),EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2019-2035,2019-04-01,[A-122320256](https://android.googlesource.com/platform/system/nfc/+/cb4844800cb05df1279e2c2934d852aa28e71aec),EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2019-2038,2019-04-01,[A-121259048](https://android.googlesource.com/platform/system/nfc/+/7fe20626c1d042394a80c91ccd5d124d32c900de),ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2019-2039,2019-04-01,[A-121260197](https://android.googlesource.com/platform/system/nfc/+/acfd93194bfcf3452c01d980f4add91118906586),ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2019-2040,2019-04-01,[A-122316913](https://android.googlesource.com/platform/system/nfc/+/12ef2547cf0417d63672f2513c6a0047f7953d22),ID,High,9,system,N/A,
CVE-2019-2029,2019-04-05,[A-120612744](https://android.googlesource.com/platform/system/bt/+/fe621261a1f66463df71cfef2bdd037374e3c6b2),RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2019-2032,2019-04-05,[A-121145627](https://android.googlesource.com/platform/system/bt/+/9b67f1d7bd30dd7ca08367c41ac1e3e027e37801),EoP,High,"8.0, 8.1, 9",system,N/A,
CVE-2019-2041,2019-04-05,[A-122034690](https://android.googlesource.com/device/google/crosshatch/+/12b500667e5440345a7bd8237c38fa2839329c11) [2](https://android.googlesource.com/device/google/muskie/+/acc2b99fbca067b97cce1a214084a0ed29e3e4b7) [3](https://android.googlesource.com/device/google/taimen/+/4873d690168b5ea6a171fca50ea231ad27fb665f),EoP,High,"8.1, 9",system,N/A,
CVE-2019-2037,2019-04-05,[A-119870451](https://android.googlesource.com/platform/system/bt/+/5474692f71bebb42e3fb4bee019abdf8908637ec),ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2018-11940,2019-04-05,A-79377832 [QC-CR#2254946](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=9d90724552bd8296e804fdbbabe5951fa47cc50e),N/A,Critical,N/A,qualcomm-components,WLAN HOST,
CVE-2017-17772,2019-04-05,A-72957385 [QC-CR#2153003](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=ac6f2c30aceb7383d215d756192a81024513beaa) [2](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=66b2f6a6f21a7c827f4e1dbd0369065a470dd168),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11294,2019-04-05,A-109741680 [QC-CR#2197481](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=fc7f79288ba28e82d04153763023b69755d6c3a1),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-5855,2019-04-05,A-77527719 [QC-CR#2193421](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qca-wifi-host-cmn/commit/?id=08d84f8db9dec79424524cda64a669d90593a362),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11299,2019-04-05,A-109741946 [QC-CR#2186953](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=409d269c3464a84d9274bc0831031b2216b1060),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11826,2019-04-05,A-111127853 [QC-CR#2205957](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=650afe0c0ec2f566c9546b3b8e400b36fcf44aed),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11827,2019-04-05,A-111128575 [QC-CR#2206569](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=4c74687be66c19be0b9bd83d78d033dff5d1a9ae),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11840,2019-04-05,A-111126050 [QC-CR#2215443](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=a3d53bb977b907a5d11d22cad3f8ebf3f1d2b1ed),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11851,2019-04-05,A-111125792 [QC-CR#2221902](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=0f6839316f43d48833750667b979aec11558abc0),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11860,2019-04-05,A-111128301 [QC-CR#2225113](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=7a8639875bb01bca2dcac7bda9e5d986fbf8683f),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11868,2019-04-05,A-111128420 [QC-CR#2227248](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=8a0be9d79cfaa4c4df2695023ba518c540381e80),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11869,2019-04-05,A-111128838 [QC-CR#2227263](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=e359db47f1e334886eaaf1d71a4754dd312be01c),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11878,2019-04-05,A-111128797 [QC-CR#2228608](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/prima/commit/?id=443edf4a19b89593f472c39e820a6a9adee76341),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11889,2019-04-05,A-111128421 [QC-CR#2230998](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=4e9edcdbb8d7087dd2c7cc250813426c9c27c4d2),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11891,2019-04-05,A-111128578 [QC-CR#2231767](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=2fc3e8a2ae8233690872d313fbfb4c74d0c61daa),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11894,2019-04-05,A-111127989 [QC-CR#2232358](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=e60c5608f843ec106a98a98b33de0c3be070d557),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11895,2019-04-05,A-111128877 [QC-CR#2232542](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=3dfe93028c0c6564db7aa4607a85413195925aa4),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11897,2019-04-05,A-111128841 [QC-CR#2233033](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=7500b7660997121039001f0ff91ce3b63040544b),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11902,2019-04-05,A-111126532 [QC-CR#2225604](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=e6298b787b3510c295dd0c9276194b3578f3cf09),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11904,2019-04-05,A-111125111 [QC-CR#2215446](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/prima/commit/?id=a009a84d04bfac2a5c01101f38a70d216960fac0),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11905,2019-04-05,A-112277221 [QC-CR#2146878](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=97007de412e17589e6b00c7c8a03f645004fd0c0),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11923,2019-04-05,A-112276863 [QC-CR#2224443](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=794425c1fd0f4debc86ff221a140373e782a0377),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11924,2019-04-05,A-112278150 [QC-CR#2224451](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=23e73fee7ec9cac339092eec8acb00c4f3f884a4),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11925,2019-04-05,A-112277910 [QC-CR#2226375](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=e706c8654a91b7a2bbdfcbf6903c0275245152cc) [2](https://source.codeaurora.org/quic/qsdk/platform/vendor/qcom-opensource/wlan/qca-wifi-host-cmn/commit/?id=985e8440d5ed664857b7f3688305c213fc37052b),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11927,2019-04-05,A-112277186 [QC-CR#2227076](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=26b1d9b2aa89bbab2fc6a8bcfea49eb416268885),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11930,2019-04-05,A-112278861 [QC-CR#2231770](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=3286807773ea5d496414c8a5328689252fe91439),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11937,2019-04-05,A-112277891 [QC-CR#2245944](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=ffa352d74abc320959e4863e5e1b226685d06622),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11949,2019-04-05,A-112278405 [QC-CR#2249815](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=f83540889b3dbfa9bc44d8d91240e59cca777d14),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-11953,2019-04-05,A-112277852 [QC-CR#2235576](https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=6ad0b5ea45aeabe330b52487a12b849b51400048),N/A,High,N/A,qualcomm-components,WLAN HOST,
CVE-2018-13920,2019-04-05,A-120487136 [*](#asterisk),N/A,High,N/A,qualcomm-components,Kernel,
CVE-2018-11271,2019-04-05,A-120487384 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11976,2019-04-05,A-117119000 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-12004,2019-04-05,A-117118976 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13886,2019-04-05,A-117118295 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13887,2019-04-05,A-117119172 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-2250,2019-04-05,A-122473270 [*](#asterisk),N/A,Critical,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11291,2019-04-05,A-109678120 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11821,2019-04-05,A-111093019 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11822,2019-04-05,A-111092813 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11828,2019-04-05,A-111089816 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11849,2019-04-05,A-111092945 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11850,2019-04-05,A-111092919 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11853,2019-04-05,A-111091938 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11854,2019-04-05,A-111093762 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11856,2019-04-05,A-111093242 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11859,2019-04-05,A-111090373 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11861,2019-04-05,A-111092814 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11862,2019-04-05,A-111093763 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11867,2019-04-05,A-111093243 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11870,2019-04-05,A-111089817 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11871,2019-04-05,A-111092400 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11872,2019-04-05,A-111090534 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11873,2019-04-05,A-111091378 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11874,2019-04-05,A-111092946 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11875,2019-04-05,A-111093022 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11876,2019-04-05,A-111093244 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11877,2019-04-05,A-111092888 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11879,2019-04-05,A-111093280 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11880,2019-04-05,A-111092401 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11882,2019-04-05,A-111093259 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11884,2019-04-05,A-111090535 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11928,2019-04-05,A-112279580 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11936,2019-04-05,A-112279127 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11967,2019-04-05,A-119049704 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11967,2019-04-05,A-119052960 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-11968,2019-04-05,A-114042276 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-12005,2019-04-05,A-117118499 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-12012,2019-04-05,A-117119174 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-12013,2019-04-05,A-117119152 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13885,2019-04-05,A-117118789 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13895,2019-04-05,A-122472377 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-13925,2019-04-05,A-120483842 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-2244,2019-04-05,A-122472139 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2019-2245,2019-04-05,A-122473145 [*](#asterisk),N/A,High,N/A,qualcomm-closed-source-components,Closed-source component,
CVE-2018-20346,2019-03-01,[A-121156452](https://android.googlesource.com/platform/external/sqlite/+/18c26a364fe8979b5dbbd93a439c49b2db5d104c),EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",framework,N/A,
CVE-2019-1985,2019-03-01,A-118694079*,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0",framework,N/A,
CVE-2019-2003,2019-03-01,[A-116321860](https://android.googlesource.com/platform/frameworks/base/+/5acf81a1f4df34451b76e76a416b8a262ba7f485),EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",framework,N/A,
CVE-2019-2004,2019-03-01,[A-115739809](https://android.googlesource.com/platform/frameworks/native/+/86c2985b0be7590aa979d25a7e5fb927cc1d2dcc),ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",framework,N/A,
CVE-2019-2005,2019-03-01,[A-68777217](https://android.googlesource.com/platform/packages/apps/PackageInstaller/+/6c613fd7499363b6b1d47cd8135b431c05ea67ba),EoP,Moderate,"8.0, 8.1, 9",framework,N/A,
CVE-2019-1989,2019-03-01,[A-118399205](https://android.googlesource.com/platform/external/libavc/+/a9915afb5575c29946fcd75fd2336c59f09a21f1),RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",media-framework,N/A,
CVE-2019-1990,2019-03-01,[A-118453553](https://android.googlesource.com/platform/external/libhevc/+/fc3cacf7252a0e578725148c25863a9d9eda297e),RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",media-framework,N/A,
CVE-2019-2006,2019-03-01,[A-116665972](https://android.googlesource.com/platform/frameworks/av/+/f6a40939fb77aace764df0cde4f354deae6b9883),EoP,High,9,media-framework,N/A,
CVE-2019-2007,2019-03-01,[A-120789744](https://android.googlesource.com/platform/frameworks/av/+/8cb1c83742196077a6c58019a08cf83ed9aaf0eb) [2](https://android.googlesource.com/platform/frameworks/av/+/7436115ffe6a5387d8fc11780a4f6ce104c7fb1b),EoP,High,"8.1, 9",media-framework,N/A,
CVE-2019-2008,2019-03-01,[A-122309228](https://android.googlesource.com/platform/frameworks/av/+/49d89e9df80bbcb9629579086df99c01d75d6851),EoP,High,"8.0, 8.1, 9",media-framework,N/A,
CVE-2019-2009,2019-03-01,[A-120665616](https://android.googlesource.com/platform/system/bt/+/488aa8befd5bdffed6cfca7a399d2266ffd201fb),RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2019-2010,2019-03-01,[A-118152591](https://android.googlesource.com/platform/hardware/nxp/nfc/+/35f34c2a18a09660e63cd509a2c37eee70893b67),EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",system,N/A,
CVE-2019-2011,2019-03-01,[A-120084106](https://android.googlesource.com/platform/system/libhwbinder/+/8708d35d64df1499edeab1c211ee3d769427cc60) [2](https://android.googlesource.com/platform/system/core/+/20ac1203a3201ac3e6d05a19325f5569033f3d08),EoP,High,"8.0, 8.1, 9",system,N/A,
